Ma_Hang,BG_LC_hien_tai,Gia_von_VAT
SP025470,49500.0,47143.0
SP023983,45000.0,36000.0
SP023284,55000.0,52381.0
SP023184,,120000.0
SP021906,83000.0,83000.0
SP021316,467500.0,530000.0
SP020710,,27941.0
SP020659,49000.0,46667.0
SP018527,80000.0,83809.0
SP018100,53250.0,105000.0
SP017382,358000.0,252778.05
SP016327,27000.0,27000.0
SP015605,38000.0,31482.0
SP015386,,30556.0
SP015170,360000.0,
SP015046,25000.0,24990.0
SP015006,165000.0,172857.0
SP013005,134000.0,91667.0
SP012450,,357000.0
SP009709,,200000.0625
SP009708,,295000.0
SP009707,,250000.0
SP008976,959000.0,958999.0
SP007503,53000.0,53000.0
SP006388,,272000.0
SP005993,,297000.0
SP005808,36500.0,29537.0
SP005539,174000.0,131047.0
SP005171,40000.0,40000.0
SP004921,117700.0,117701.0
SP004016,26000.0,44000.0
SP003526,16000.0,19048.0
SP003069,17000.0,1296.0
SP000335,53000.0,51000.0
SP000215,147000.0,126642.0
SP269657,87500.0,87499.986
SP271064,265000.0,265000.0
SP2720892,,240001.0
SP2707379,98000.0,86480.0
SP402318,506000.0,481905.0
SP402176,104400.0,68000.0
SP402069,168000.0,139792.0
SP2724350,348000.0,331429.0
SP2721402,150000.0,133177.0
SP2720472,194000.0,147296.0
SP2716426,,450000.0
SP2716208,268000.0,351609.0
SP271325,320000.0,265000.0
SP2713237,,89100.0
SP271079,22000.0,20952.0
SP2710583,50000.0,49000.0
SP2710262,42000.0,40000.0
SP2710255,32400.0,31000.0
SP2710254,126000.0,114397.0
SP2710004,147000.0,128571.0
SP2709888,81000.0,75000.0
SP2709408,37500.0,52571.0
SP2709203,92000.0,92000.0
SP2709202,54000.0,51429.0
SP2707930,240000.0,392430.0
SP2707731,72000.0,55525.0
SP2707708,210000.0,1102858.0
SP270620,135000.0,128572.0
SP270614,180000.0,169000.0
SP270595,105000.0,87000.0
SP2705568,110000.0,93000.0
SP2705561,96000.0,115476.0
SP270552,190000.0,173162.0
SP270001,59990.0,43696.0
SP269894,229500.0,207529.6161
SP269765,187000.0,178095.0
SP269731,192000.0,192000.0
SP269717,60000.0,57143.0
SP269666,142000.0,131481.0
SP269651,9000.0,8571.0
SP269619,23100.0,14857.0
SP269585,162000.0,154286.0
SP269584,180000.0,150000.0
SP269583,72000.0,57143.0
SP269571,120000.0,114286.0
SP269551,115000.0,105143.0
SP269546,160000.0,152381.0
SP269478,81000.0,72955.0
SP269449,68900.0,65619.0
SP269428,222000.0,203862.0
SP269376,17000.0,17721.0
SP269235,54000.0,46731.0
SP269188,,51429.0
SP269159,48000.0,33721.0
SP269078,73000.0,56423.0
SP268824,26500.0,23356.0
SP268810,112000.0,114286.0
SP268785,,29027.0
SP268557,14000.0,12000.0
SP268532,12000.0,13000.0
SP268498,90000.0,70187.0
SP268492,78000.0,72222.0
SP268147,192000.0,183000.0
SP268140,98000.0,88700.0
SP268134,37500.0,30721.0
SP268116,82000.0,78095.0
SP268067,33000.0,31429.0
SP268022,192000.0,182858.0
SP267974,48000.0,45714.0
SP267915,34000.0,45999.0
SP267812,68400.0,182857.0
SP267805,180000.0,180000.0
SP267788,51990.0,49514.0
SP267762,180000.0,137143.0
SP267717,28000.0,30667.0
SP267705,336000.0,320000.0
SP267632,40000.0,37000.0
SP267610,37900.0,31791.0
SP267563,89000.0,83017.0
SP267552,812000.0,1171428.0
SP267550,75000.0,135238.0
SP267530,135000.0,110000.0
SP267479,7500.0,4950.0
SP267291,46000.0,43810.0
SP267247,89600.0,223335.0
SP026917,220000.0,202713.0
SP026904,52000.0,107620.0
SP026681,124600.0,146918.0
SP026679,131000.0,125000.0
